state,commonGround,qud,utterance,prob,CC,BEL,pa
"BEL:0,CC:0","[{BEL: 1, CC: 1}, {BEL: 0, CC: 1}, {BEL: 1, CC: 0}, {BEL: 0, CC: 0}]",BEL? QUD,not c,0.9548401407821666,CC:?,BEL:?,BEL:? CC:?
"BEL:0,CC:0","[{BEL: 1, CC: 1}, {BEL: 0, CC: 1}, {BEL: 1, CC: 0}, {BEL: 0, CC: 0}]",BEL? QUD,neg-think,0.04439006753373342,CC:?,BEL:?,BEL:? CC:?
"BEL:0,CC:0","[{BEL: 1, CC: 1}, {BEL: 0, CC: 1}, {BEL: 1, CC: 0}, {BEL: 0, CC: 0}]",BEL? QUD,neg-know,7.697916841020679e-4,CC:?,BEL:?,BEL:? CC:?
"BEL:0,CC:0","[{BEL: 0, CC: 1}, {BEL: 0, CC: 0}]",CC? QUD,not c,0.999999911328269,CC:?,BEL:0,BEL:0 CC:?
"BEL:0,CC:0","[{BEL: 0, CC: 1}, {BEL: 0, CC: 0}]",CC? QUD,neg-think,4.4335864977338256e-8,CC:?,BEL:0,BEL:0 CC:?
"BEL:0,CC:0","[{BEL: 0, CC: 1}, {BEL: 0, CC: 0}]",CC? QUD,neg-know,4.4335864977338256e-8,CC:?,BEL:0,BEL:0 CC:?
"BEL:0,CC:0","[{BEL: 0, CC: 1}, {BEL: 0, CC: 0}]",BEL? QUD,not c,0.9999092083843392,CC:?,BEL:0,BEL:0 CC:?
"BEL:0,CC:0","[{BEL: 0, CC: 1}, {BEL: 0, CC: 0}]",BEL? QUD,neg-think,4.539580782951083e-5,CC:?,BEL:0,BEL:0 CC:?
"BEL:0,CC:0","[{BEL: 0, CC: 1}, {BEL: 0, CC: 0}]",BEL? QUD,neg-know,4.539580782951083e-5,CC:?,BEL:0,BEL:0 CC:?
"BEL:0,CC:0","[{BEL: 1, CC: 0}, {BEL: 0, CC: 0}]",CC? QUD,not c,0.9999092083843392,CC:0,BEL:?,BEL:? CC:0
"BEL:0,CC:0","[{BEL: 1, CC: 0}, {BEL: 0, CC: 0}]",CC? QUD,neg-think,4.539580782951083e-5,CC:0,BEL:?,BEL:? CC:0
"BEL:0,CC:0","[{BEL: 1, CC: 0}, {BEL: 0, CC: 0}]",CC? QUD,neg-know,4.539580782951083e-5,CC:0,BEL:?,BEL:? CC:0
"BEL:0,CC:0","[{BEL: 1, CC: 0}, {BEL: 0, CC: 0}]",BEL? QUD,not c,0.9555342810247264,CC:0,BEL:?,BEL:? CC:0
"BEL:0,CC:0","[{BEL: 1, CC: 0}, {BEL: 0, CC: 0}]",BEL? QUD,neg-think,0.04442233778602913,CC:0,BEL:?,BEL:? CC:0
"BEL:0,CC:0","[{BEL: 1, CC: 0}, {BEL: 0, CC: 0}]",BEL? QUD,neg-know,4.338118924416904e-5,CC:0,BEL:?,BEL:? CC:0
